@id,@lat,@lon,name
2348233005,43.2221135,-1.7644769,Cromlechs Pagolletako Zelaia 1-2
2354845267,53.8479088,-1.8033493,Soldier's Trench
2377167296,47.5912367,-3.0852949,
2384616278,57.1121561,-2.2407271,Binghill stone circle
2392180701,60.6102582,-0.8655058,Hjaltadans
2399230203,57.2108881,-2.5924510,Whitehills Stone Circle
2407308739,58.5075747,11.4012822,Stenebacka Domarringen
2410580926,60.9591840,26.6386386,Jatulintarha
2412270422,51.6376404,-2.8133514,
2431553674,54.5328155,-2.6389566,
2447145481,43.4583532,3.7115674,Cromlech du Pioch de Roumanis
2470539757,51.1367880,-0.5570475,
2471380907,47.1547484,9.7578042,Raetia 3a
2471380925,47.1535683,9.7566285,Raetia 8
2471576416,51.7358672,-9.8700439,Ardgroom Stone Circle
2485646698,53.6940229,12.0245319,Steintanz Lenzen
2495547913,43.2734899,-1.4131516,Cromlechs Mehatzeko Bizkarra 1-5
2495566428,43.2773233,-1.4040808,Cromlech tumulaire de Zelai
2495571898,43.2900956,-1.3978287,Harluxeeta
2509962947,50.1276403,3.6071335,Polissoir d'Ors grand bois l'évêque
2510081268,50.3290246,2.4826348,Polissoir de Penin
2514284345,43.1837774,-1.7775365,Cromlech Beltzuntza
2514284346,43.1730033,-1.7657605,Cromlechs Gerasungo Ataka 1-12
2514284347,43.1664967,-1.7653787,Cromlechs Ibintza 1-6
2562332686,54.4981753,-2.6079431,White Hag Stone Circle
2639585974,57.3320260,-2.8154704,Corrstone Wood stone circle
2663765277,43.2049168,-1.7655090,Cromlechs Izu Hegoalde 1-2
2663765280,43.2053410,-1.7653982,Cromlechs Izuko Gaña 1-6
2663765281,43.2060462,-1.7692887,Cromlechs Izurriztiko Bizkarra 1-12
2663765282,43.2066561,-1.7716206,Cromlechs Izurriztiko Egia 1-2
2663765283,43.2064034,-1.7704406,Cromlechs Izurriztiko Lepoa 1-10
2709867047,43.2400849,-1.7843572,Cromlechs Burnaiztietako Lepoa 1-3
2737286002,57.5377958,-2.0666653,Loudon Wood Recumbent Stone Circle
2788940714,43.1765689,-1.7667155,Cromlech Mustriña
2788940720,43.1797320,-1.7585975,Cromlechs Sorageta 1-3
2836654892,43.2413506,-1.5831585,Cromlechs Altsoroi 1-3
2844690034,48.2426315,-2.9076457,Cromlech de Lorette
2909438214,46.8313937,10.9096083,Widder-Menhir
2924609779,54.6239259,16.9951810,Groby Olbrzymów
2969194384,57.1717200,13.4279665,
2969194388,57.1718831,13.4281074,
2969194389,57.1719217,13.4278015,
2969194394,57.1720488,13.4281778,
3003268254,43.2652561,-1.7592596,Cromlech Agina Ipar
3003268256,43.2379582,-1.7781728,Cromlech Bidangoko Gaña
