item,itemLabel,geo
http://www.wikidata.org/entity/Q16412883,Aresi sacrificial stone,Point(26.461293333 59.424912482)
http://www.wikidata.org/entity/Q16408829,Jõune sacrificial stone,Point(26.368984 58.67268)
http://www.wikidata.org/entity/Q16412253,Salatse sacrificial stone,Point(26.162044 59.482819)
http://www.wikidata.org/entity/Q16411047,Pärase Tondikivi,Point(23.302883 58.623986)
http://www.wikidata.org/entity/Q16410181,Igaküla Mualjakivi,Point(23.152631 58.618039)
http://www.wikidata.org/entity/Q16410418,Lokuti Ussikivi,Point(24.758397083 59.269134212)
http://www.wikidata.org/entity/Q20530936,Raegma Tondikivi,Point(23.28935197 58.572375588)
http://www.wikidata.org/entity/Q42888578,Haeska sacrificial stone,Point(23.643117799 58.788773587)
http://www.wikidata.org/entity/Q16413443,Q16413443,Point(26.68372 58.54259)
http://www.wikidata.org/entity/Q18623671,Viru sacrificial stone,Point(26.722416 57.732974)
http://www.wikidata.org/entity/Q23199367,Võhksa Nõiakivi,Point(22.91682 58.37654)
http://www.wikidata.org/entity/Q16409800,Leie Kalmetikivi,Point(26.046583 58.418363)
http://www.wikidata.org/entity/Q18624627,Väkra sacrificial stone,Point(22.838316814 58.455124567)
http://www.wikidata.org/entity/Q16410768,Jaska sacrificial stone,Point(25.567295 58.523022)
http://www.wikidata.org/entity/Q16412490,Jaanikivi,Point(27.3942 57.709)
http://www.wikidata.org/entity/Q18623444,Sõtke sacrificial stone,Point(27.76843 59.345025)
http://www.wikidata.org/entity/Q18623578,Valgesoo sacrificial stone,Point(27.076939 58.111493)
http://www.wikidata.org/entity/Q16412886,Eesküla sacrificial stone,Point(26.316843 59.316738)
http://www.wikidata.org/entity/Q20530877,Q20530877,Point(25.90774 58.69471)
http://www.wikidata.org/entity/Q16409431,Paduvere sacrificial stone,Point(26.3265 58.810084)
http://www.wikidata.org/entity/Q16410256,Kiidjärve sacrificial stone,Point(27.020597 58.1389)
http://www.wikidata.org/entity/Q18623607,Varbuse Ukukivi,Point(26.90963 58.03565)
http://www.wikidata.org/entity/Q16412830,Andre Tõnisekivi,Point(27.11603 58.00071)
http://www.wikidata.org/entity/Q20529946,Õvanurme Hiiemäe sacrificial stone,Point(26.616930558 58.580118301)
http://www.wikidata.org/entity/Q16408995,Kõrgepalu sacrificial stone,Point(26.738653 57.723451)
http://www.wikidata.org/entity/Q12361929,Ellukivi,Point(26.660008 59.49289)
http://www.wikidata.org/entity/Q18623407,Sultsi sacrificial stone,Point(25.599635 58.22923)
http://www.wikidata.org/entity/Q16411211,Madise sacrificial stone,Point(24.158401628 59.292675437)
http://www.wikidata.org/entity/Q20530589,sacrificial stone of Maardu hiis,Point(25.009385672 59.429963815)
http://www.wikidata.org/entity/Q18623705,Välgita sacrificial stone,Point(25.6601 58.46691)
http://www.wikidata.org/entity/Q16409716,Karkuse sacrificial stone,Point(25.957934 59.201214)
http://www.wikidata.org/entity/Q16409647,Lavi sacrificial stone,Point(26.63217 59.292266)
http://www.wikidata.org/entity/Q16408670,Kuutsi sacrificial stone,Point(26.571624 57.591485)
http://www.wikidata.org/entity/Q42888584,Linnamäe sacrificial stone,Point(23.734014265 59.003084567)
http://www.wikidata.org/entity/Q25513464,Hageri sacrificial stone,Point(24.652322141 59.154877948)
http://www.wikidata.org/entity/Q16410946,Atika sacrificial stone,Point(25.46015 58.096343)
http://www.wikidata.org/entity/Q18623653,Viitka Ristimäe sacrificial stone,Point(27.3204166 57.689455)
http://www.wikidata.org/entity/Q16413222,Kurevere Kihu sacrificial stone,Point(26.297744 57.939108)
http://www.wikidata.org/entity/Q15741548,Helgikivi,Point(25.72966 58.00104)
http://www.wikidata.org/entity/Q20529212,Raudoja sacrificial stone,Point(25.394855689 59.394854077)
http://www.wikidata.org/entity/Q18623612,Vassevere Metsakivi,Point(26.76363 58.71934)
http://www.wikidata.org/entity/Q16409831,Kassema sacrificial stone,Point(26.706719 58.639992)
http://www.wikidata.org/entity/Q16413213,Kullaga sacrificial stone,Point(26.630682 58.213351)
http://www.wikidata.org/entity/Q16411148,Avispea sacrificial stone,Point(26.416832 59.154835)
http://www.wikidata.org/entity/Q18623409,Sulustvere sacrificial stone,Point(26.056976 58.693139)
http://www.wikidata.org/entity/Q16412030,Mustajõe sacrificial stone,Point(26.962656 57.975877)
http://www.wikidata.org/entity/Q18623526,Q18623526,Point(25.6423 58.50709)
http://www.wikidata.org/entity/Q16412764,Ala sacrificial stone,Point(25.695828 58.005307)
http://www.wikidata.org/entity/Q16412599,Laeva sacrificial stone,Point(26.406269 58.498438)
http://www.wikidata.org/entity/Q12377724,Ukukivi,Point(24.465140559 59.199291367)
http://www.wikidata.org/entity/Q18623615,Vatku Vahakivi,Point(25.81533 59.53451)
http://www.wikidata.org/entity/Q16410447,Kirbu sacrificial stone,Point(26.344622661 57.784463012)
http://www.wikidata.org/entity/Q20530526,Lükati Arstikivi,Point(25.260334494 59.280486622)
http://www.wikidata.org/entity/Q20530044,Tutermaa sacrificial stone,Point(24.481507006 59.327520453)
http://www.wikidata.org/entity/Q16410012,Hurmi Suure Kullaaugu sacrificial stone,Point(26.893211 58.024422)
http://www.wikidata.org/entity/Q16410639,Jaagu-Mihkli boulder,Point(23.666097326 58.623021624)
http://www.wikidata.org/entity/Q16409328,Q16409328,Point(26.094221 59.516315)
