item,location,itemLabel
http://www.wikidata.org/entity/Q20826503,Point(-1.34164 59.97149),St Ninian's Isle Treasure
http://www.wikidata.org/entity/Q21062057,Point(-2.442222222 53.846388888),Mitton Hoard
http://www.wikidata.org/entity/Q23697382,Point(10.8556 56.5157),Q23697382
http://www.wikidata.org/entity/Q24948924,Point(16.91195 52.336682),Q24948924
http://www.wikidata.org/entity/Q25378892,Point(11.269344 55.301089),Hoards from Boeslunde
http://www.wikidata.org/entity/Q30591437,Point(18.09418 59.5679),Molnby Hoard
http://www.wikidata.org/entity/Q30624639,Point(-0.42510022 54.133534),Wold Newton hoard
http://www.wikidata.org/entity/Q38251377,Point(-2.945775 56.346772222),Dairsie Hoard
http://www.wikidata.org/entity/Q55006468,Point(14.106978 56.490531),Hoard from Loshult Scania
http://www.wikidata.org/entity/Q55761643,Point(9.58407 55.4553),Hoard from Fårdal
http://www.wikidata.org/entity/Q59394055,Point(7.453333333 51.514722222),Goldschatz von Dortmund
http://www.wikidata.org/entity/Q60032767,Point(-4.464933333 42.878677777),Q60032767
http://www.wikidata.org/entity/Q65104254,Point(25.99501492 61.05849221),Harakkamäki
http://www.wikidata.org/entity/Q65109447,Point(25.67129503 61.49925887),Ihananiemi
http://www.wikidata.org/entity/Q67998205,Point(-0.44659 54.1981),Binnington Carr Hoard
http://www.wikidata.org/entity/Q78146240,Point(-1.4271327 54.24648),Breckenbrough Hoard
http://www.wikidata.org/entity/Q78199620,Point(-0.50186092 53.82961974),Walkington Hoard
http://www.wikidata.org/entity/Q81914423,Point(-2.74033 52.2708),Herefordshire hoard
http://www.wikidata.org/entity/Q84078454,Point(12.181944444 55.455),Brogade Hoard
