item	location	itemLabel
http://www.wikidata.org/entity/Q1012010	Point(9.513321 47.046035)	Burg Grafenberg
http://www.wikidata.org/entity/Q1012018	Point(8.96900556 48.55515556)	Burg Graneck
http://www.wikidata.org/entity/Q1012040	Point(9.2788 48.4389)	Greifenstein Castle
http://www.wikidata.org/entity/Q1012057	Point(9.522777777 46.883888888)	Grottenstein castle ruin
http://www.wikidata.org/entity/Q1012078	Point(12.4837 53.6631)	Grubenhagen Castle (Vollrathsruhe)
http://www.wikidata.org/entity/Q1012088	Point(9.332222222 47.102777777)	Gräpplang Castle
http://www.wikidata.org/entity/Q1012097	Point(9.19489 46.776)	Grüneck Castle
http://www.wikidata.org/entity/Q1012102	Point(9.12028 46.7794)	Burg Grünenfels
http://www.wikidata.org/entity/Q1012107	Point(9.93322 46.5856)	Guardaval Castle
http://www.wikidata.org/entity/Q1012170	Point(9.523337 46.880463)	Alt-Haldenstein Castle
http://www.wikidata.org/entity/Q1012175	Point(10.8676 48.139)	Burgruine Haltenberg
http://www.wikidata.org/entity/Q1012192	Point(9.94903 51.6298)	Burg Hardenberg
http://www.wikidata.org/entity/Q1012205	Point(13.0363853 50.1415589)	Hartenštejn Castle
http://www.wikidata.org/entity/Q1012213	Point(8.550790683 50.99422521)	Burg Hatzfeld
http://www.wikidata.org/entity/Q1012224	Point(12.9898 47.9313)	Burg Haunsperg
http://www.wikidata.org/entity/Q1012234	Point(9.91813 51.9165)	Burg Hausfreden
http://www.wikidata.org/entity/Q1012249	Point(9.0625 46.7525)	Heidenberg Castle
http://www.wikidata.org/entity/Q1012273	Point(9.40861 46.7397)	Heinzenberg Castle
http://www.wikidata.org/entity/Q1012276	Point(9.22278 47.4014)	Burg Helfenberg Gossau
http://www.wikidata.org/entity/Q1012279	Point(8.83417 47.6111)	Helfenberg Castle
http://www.wikidata.org/entity/Q1012290	Point(14.38388889 50.57944444)	Helfenburk
http://www.wikidata.org/entity/Q1012297	Point(14.00638889 49.13611111)	Helfenburk
http://www.wikidata.org/entity/Q1012308	Point(17.628574 49.518123)	Helfštýn
http://www.wikidata.org/entity/Q1012375	Point(9.420833333 46.777777777)	Hochjuvalt Castle
http://www.wikidata.org/entity/Q1012383	Point(8.89778 46.7208)	Burg Hohenbalken
http://www.wikidata.org/entity/Q1012389	Point(9.74833 47.4903)	Burg Hohenbregenz
http://www.wikidata.org/entity/Q1012394	Point(10.556388888 48.731388888)	Burg Hohenburg
http://www.wikidata.org/entity/Q1012394	Point(10.557254897 48.731432479)	Burg Hohenburg
http://www.wikidata.org/entity/Q1012441	Point(8.6093 48.207)	Burg Hohenstein
http://www.wikidata.org/entity/Q1012443	Point(11.422246591 49.58658095)	Burgruine Hohenstein
http://www.wikidata.org/entity/Q1012479	Point(16.77652778 49.40172222)	Holštejn Castle
