item	location	itemLabel
http://www.wikidata.org/entity/Q98274884	Point(12.761712127 49.140851118)	Erdstall tunnel in Miltach
http://www.wikidata.org/entity/Q98275349	Point(12.067123452 49.731963327)	Erdstall tunnel in Parkstein
http://www.wikidata.org/entity/Q98275499	Point(12.41896108 49.459041137)	Erdstall tunnel in Oberviechtach
http://www.wikidata.org/entity/Q98275549	Point(12.382276708 49.348968593)	Erdstall tunnel in Neunburg vorm Wald
http://www.wikidata.org/entity/Q98275586	Point(12.377853838 49.326256849)	Erdstall tunnel in Neunburg vorm Wald
http://www.wikidata.org/entity/Q98275588	Point(12.428552088 49.323473552)	Erdstall tunnel in Neunburg vorm Wald
http://www.wikidata.org/entity/Q98275590	Point(12.360243027 49.323312527)	Erdstall tunnel in Neunburg vorm Wald
http://www.wikidata.org/entity/Q98275599	Point(12.430659939 49.315572251)	Erdstall tunnel in Neunburg vorm Wald
http://www.wikidata.org/entity/Q98275616	Point(12.61528624 49.307920128)	Erdstall tunnel in Pemfling
http://www.wikidata.org/entity/Q98275661	Point(12.436978595 49.291378027)	Erdstall tunnel in Neukirchen-Balbini
http://www.wikidata.org/entity/Q98275664	Point(12.438555193 49.291173286)	Erdstall tunnel in Neukirchen-Balbini
http://www.wikidata.org/entity/Q98275665	Point(12.43684108 49.291168369)	Erdstall tunnel in Neukirchen-Balbini
http://www.wikidata.org/entity/Q98275670	Point(12.437882071 49.290947502)	Erdstall tunnel in Neukirchen-Balbini
http://www.wikidata.org/entity/Q98275678	Point(12.585818115 49.287472522)	Erdstall tunnel in Pemfling
http://www.wikidata.org/entity/Q98275725	Point(12.611404473 49.267287955)	Erdstall tunnel in Pemfling
http://www.wikidata.org/entity/Q98275772	Point(12.547652034 49.230945919)	Erdstall tunnel in Pösing
http://www.wikidata.org/entity/Q98278211	Point(12.420331182 49.512589385)	Erdstall tunnel in Teunz
http://www.wikidata.org/entity/Q98278380	Point(12.576580559 49.384509772)	Erdstall tunnel in Schönthal (Oberpfalz)
http://www.wikidata.org/entity/Q98278382	Point(12.576498624 49.384152305)	Erdstall tunnel in Schönthal (Oberpfalz)
http://www.wikidata.org/entity/Q98278384	Point(12.577304906 49.383737382)	Erdstall tunnel in Schönthal (Oberpfalz)
http://www.wikidata.org/entity/Q98278398	Point(12.503906265 49.379275537)	Erdstall tunnel in Rötz
http://www.wikidata.org/entity/Q98278419	Point(12.565545699 49.368960022)	Erdstall tunnel in Schönthal (Oberpfalz)
http://www.wikidata.org/entity/Q98278480	Point(12.542914961 49.340770752)	Erdstall tunnel in Rötz
http://www.wikidata.org/entity/Q98278483	Point(12.632530395 49.339722465)	Erdstall tunnel in Schönthal (Oberpfalz)
http://www.wikidata.org/entity/Q98278484	Point(12.633115809 49.339635006)	Erdstall tunnel in Schönthal (Oberpfalz)
http://www.wikidata.org/entity/Q98278500	Point(12.593806343 49.336165595)	Erdstall tunnel in Schönthal (Oberpfalz)
http://www.wikidata.org/entity/Q98278533	Point(12.588889891 49.322503502)	Erdstall tunnel in Schönthal (Oberpfalz)
http://www.wikidata.org/entity/Q98278617	Point(12.512193057 49.283343813)	Erdstall tunnel in Stamsried
http://www.wikidata.org/entity/Q98278618	Point(12.521872735 49.281763392)	Erdstall tunnel in Stamsried
http://www.wikidata.org/entity/Q98278679	Point(12.53924246 49.252673475)	Erdstall tunnel in Stamsried
http://www.wikidata.org/entity/Q98278725	Point(12.775038718 49.231827443)	Erdstall tunnel in Runding
http://www.wikidata.org/entity/Q98278741	Point(12.89529617 49.225184314)	Erdstall tunnel in Rimbach (Oberpfalz)
http://www.wikidata.org/entity/Q98278768	Point(12.895920656 49.212929589)	Erdstall tunnel in Rimbach (Oberpfalz)
http://www.wikidata.org/entity/Q98278786	Point(12.518467614 49.192088342)	Erdstall tunnel in Roding
http://www.wikidata.org/entity/Q98278790	Point(12.608957483 49.189910386)	Erdstall tunnel in Schorndorf (Oberpfalz)
http://www.wikidata.org/entity/Q98278829	Point(12.560679174 49.172285263)	Erdstall tunnel in Roding
http://www.wikidata.org/entity/Q98278843	Point(12.558181129 49.161155867)	Erdstall tunnel in Roding
http://www.wikidata.org/entity/Q98278848	Point(12.558718433 49.159830951)	Erdstall tunnel in Roding
http://www.wikidata.org/entity/Q98278899	Point(12.459719364 49.049633248)	Erdstall tunnel in Rettenbach (Oberpfalz)
http://www.wikidata.org/entity/Q98279452	Point(12.100304679 49.669269546)	Erdstall tunnel in Weiden in der Oberpfalz
http://www.wikidata.org/entity/Q98279733	Point(12.740105781 49.287251785)	Erdstall tunnel in Weiding (Landkreis Cham)
http://www.wikidata.org/entity/Q98371356	Point(13.356239542 48.775104466)	Erdstall tunnel in Saldenburg
http://www.wikidata.org/entity/Q98371365	Point(13.380708908 48.782176972)	Erdstall tunnel in Saldenburg
http://www.wikidata.org/entity/Q98371367	Point(13.34110473 48.777142323)	Erdstall tunnel in Saldenburg
http://www.wikidata.org/entity/Q98371371	Point(13.383389249 48.755940175)	Erdstall tunnel in Saldenburg
http://www.wikidata.org/entity/Q98371374	Point(13.339364312 48.777499237)	Erdstall tunnel in Saldenburg
http://www.wikidata.org/entity/Q98371473	Point(13.208083002 48.766197566)	Erdstall tunnel in Schöllnach
http://www.wikidata.org/entity/Q98371772	Point(12.792462552 48.820308777)	Erdstall tunnel in Stephansposching
http://www.wikidata.org/entity/Q98372102	Point(12.710770251 48.808734583)	Erdstall tunnel in Straßkirchen
http://www.wikidata.org/entity/Q98372322	Point(13.056345267 49.008035604)	Erdstall tunnel in Teisnach
http://www.wikidata.org/entity/Q98372425	Point(13.338217133 48.738594971)	Erdstall tunnel in Thurmansbang
http://www.wikidata.org/entity/Q98372448	Point(13.548673106 48.593744739)	Erdstall tunnel in Thyrnau
http://www.wikidata.org/entity/Q98372449	Point(13.541559947 48.5890339)	Erdstall tunnel in Thyrnau
http://www.wikidata.org/entity/Q98372452	Point(13.564205375 48.582479519)	Erdstall tunnel in Thyrnau
http://www.wikidata.org/entity/Q98372455	Point(13.549040174 48.593817564)	Erdstall tunnel in Thyrnau
http://www.wikidata.org/entity/Q98372565	Point(13.416844177 48.628362776)	Erdstall tunnel in Tiefenbach (bei Passau)
http://www.wikidata.org/entity/Q98372708	Point(12.909336134 49.092315531)	Erdstall tunnel in Viechtach
http://www.wikidata.org/entity/Q98372717	Point(12.900974962 49.058905077)	Erdstall tunnel in Viechtach
http://www.wikidata.org/entity/Q98372728	Point(12.883923538 49.078305085)	Erdstall tunnel in Viechtach
http://www.wikidata.org/entity/Q98372730	Point(12.886336178 49.080165118)	Erdstall tunnel in Viechtach
http://www.wikidata.org/entity/Q98372732	Point(12.885916881 49.080333591)	Erdstall tunnel in Viechtach
http://www.wikidata.org/entity/Q98372734	Point(12.886376782 49.080494633)	Erdstall tunnel in Viechtach
http://www.wikidata.org/entity/Q98372751	Point(12.293312281 48.44091643)	Erdstall tunnel in Vilsbiburg
http://www.wikidata.org/entity/Q98373214	Point(13.604030432 48.728156448)	Erdstall tunnel in Waldkirchen
http://www.wikidata.org/entity/Q98378084	Point(12.763122175 48.683949149)	Erdstall tunnel in Landau an der Isar
http://www.wikidata.org/entity/Q98378205	Point(12.552663436 48.568983552)	Erdstall tunnel in Marklkofen
http://www.wikidata.org/entity/Q98378297	Point(13.021325886 48.690302538)	Erdstall tunnel in Osterhofen
http://www.wikidata.org/entity/Q98378299	Point(12.809977136 48.761313777)	Erdstall tunnel in Otzing
http://www.wikidata.org/entity/Q98397395	Point(13.105350097 48.547864437)	Erdstall tunnel in Beutelsbach (Niederbayern)
http://www.wikidata.org/entity/Q111691900	Point(16.3393374 48.4258883)	Schwedenhöhlen
http://www.wikidata.org/entity/Q120968157	Point(13.652757615 48.325592983)	Erdstall tunnel
http://www.wikidata.org/entity/Q98279735	Point(12.740306628 49.286666128)	Erdstall tunnel in Weiding (Landkreis Cham)
http://www.wikidata.org/entity/Q98279750	Point(12.759150466 49.273623781)	Erdstall tunnel in Weiding (Landkreis Cham)
http://www.wikidata.org/entity/Q98279752	Point(12.748499134 49.273297415)	Erdstall tunnel in Weiding (Landkreis Cham)
http://www.wikidata.org/entity/Q98279755	Point(12.749281987 49.272969279)	Erdstall tunnel in Weiding (Landkreis Cham)
http://www.wikidata.org/entity/Q98279756	Point(12.750012119 49.272952939)	Erdstall tunnel in Weiding (Landkreis Cham)
http://www.wikidata.org/entity/Q98279769	Point(12.764640875 49.262300121)	Erdstall tunnel in Weiding (Landkreis Cham)
http://www.wikidata.org/entity/Q98279772	Point(12.665290228 49.261096931)	Erdstall tunnel in Waffenbrunn
http://www.wikidata.org/entity/Q98279791	Point(12.670373568 49.245704378)	Erdstall tunnel in Willmering
http://www.wikidata.org/entity/Q98279796	Point(12.781863043 49.242583357)	Erdstall tunnel in Weiding (Landkreis Cham)
http://www.wikidata.org/entity/Q98279798	Point(12.781444101 49.242361401)	Erdstall tunnel in Weiding (Landkreis Cham)
http://www.wikidata.org/entity/Q98279799	Point(12.780764489 49.241938352)	Erdstall tunnel in Weiding (Landkreis Cham)
http://www.wikidata.org/entity/Q98279801	Point(12.780289585 49.241911801)	Erdstall tunnel in Weiding (Landkreis Cham)
