latitude,longitude,label,link
http://www.wikidata.org/entity/Q24661525,Point(0.51573 50.87226),Wilting Manor Upper Norman Fort
http://www.wikidata.org/entity/Q39006393,Point(-3.6158765 53.256539),Bryn-ffanigl Uchaf 2
http://www.wikidata.org/entity/Q56661904,Point(-4.6029598 55.833238),Castle Hill
http://www.wikidata.org/entity/Q56663371,Point(-4.5302665 55.441082),Highpark
http://www.wikidata.org/entity/Q56662879,Point(-3.1726826 55.164953),Newland Hill - settlement
http://www.wikidata.org/entity/Q24661765,Point(-3.79744 50.77374),Tracey Castle
http://www.wikidata.org/entity/Q24661521,Point(0.48272 51.23183),Amsbury Wood Enclosure
http://www.wikidata.org/entity/Q56663585,Point(-3.7352789 55.154718),Moat
http://www.wikidata.org/entity/Q24661548,Point(-1.27352 51.45778),Oare Common
http://www.wikidata.org/entity/Q24661701,Point(-1.78661 53.65832),Hill House Castle
http://www.wikidata.org/entity/Q56667524,Point(-3.2722215 55.006524),Blacketlees Cottages
http://www.wikidata.org/entity/Q56668019,Point(-2.9088896 55.782377),Nether Brotherstone - fort
http://www.wikidata.org/entity/Q31084948,Point(-2.1066252 57.060522),Broad Haven - Mains of Portlethen
http://www.wikidata.org/entity/Q56667949,Point(-5.3787807 56.463816),Moss of Achnacree - enclosure
http://www.wikidata.org/entity/Q24661395,Point(-2.95384 54.53641),Old Castle
http://www.wikidata.org/entity/Q24662645,Point(-1.71632 53.0811),Castle Earthwork
http://www.wikidata.org/entity/Q24662656,Point(-0.71748 52.08774),Newport Pagnell Castle
http://www.wikidata.org/entity/Q56666844,Point(-3.555188 56.101973),Cowstrandburn
http://www.wikidata.org/entity/Q56661805,Point(-3.359455 56.584881),Ardblair Castle
http://www.wikidata.org/entity/Q56661723,Point(-2.5448987 56.878698),Green Castle
http://www.wikidata.org/entity/Q24661463,Point(-2.11677 55.22128),Raylees Castle Hill
http://www.wikidata.org/entity/Q24660969,Point(-0.7131 51.02439),Verdley Castle
http://www.wikidata.org/entity/Q56663346,Point(-3.4530332 56.435533),Grassy Walls - Roman camp and prehistoric settlement
http://www.wikidata.org/entity/Q24661563,Point(-1.96391 51.52251),Earthwork
http://www.wikidata.org/entity/Q56667907,Point(-5.6487631 56.198071),Aird Luing
http://www.wikidata.org/entity/Q24661728,Point(-1.08289 52.75024),Seagrave Manor
http://www.wikidata.org/entity/Q24661469,Point(-0.94842 52.45784),Moot Hill
http://www.wikidata.org/entity/Q24661344,Point(-2.44349 54.67596),Greencastle
http://www.wikidata.org/entity/Q56664463,Point(-2.5609862 55.457048),Lintalee
http://www.wikidata.org/entity/Q56665980,Point(-2.9133415 57.094896),Heugh - homestead moat and earthworks
http://www.wikidata.org/entity/Q24660862,Point(0.33477 51.32841),Fairseat Hall Wood
http://www.wikidata.org/entity/Q56667906,Point(-5.6503534 56.226491),Dun Ablaich
http://www.wikidata.org/entity/Q24660851,Point(0.24597 51.66667),Slades
http://www.wikidata.org/entity/Q56665780,Point(-5.3946597 56.467598),South Ledaig
http://www.wikidata.org/entity/Q24661559,Point(-2.48682 51.77731),Cern Hill
http://www.wikidata.org/entity/Q24661776,Point(-4.62471 50.66288),Tich Barrow
http://www.wikidata.org/entity/Q24661534,Point(-0.78705 54.09289),Langton Castle
http://www.wikidata.org/entity/Q19362577,Point(7.781938888 46.897944444),pig hill
http://www.wikidata.org/entity/Q17646649,Point(-2.07598 51.0182),Earthwork
http://www.wikidata.org/entity/Q17647045,Point(-0.0575303 50.882),Earthworks and lynchets on Buckland Bank and Buckland Hole
http://www.wikidata.org/entity/Q17645717,Point(-2.02082 51.9352),Earthwork on Cleeve Common
http://www.wikidata.org/entity/Q17678468,Point(-2.26197 54.9382),Earthwork and buried remains of Stublick Colliery; immediately south east of Stublick
http://www.wikidata.org/entity/Q17648393,Point(-2.52381 50.7315),Earthwork
http://www.wikidata.org/entity/Q17645916,Point(-1.70494 51.231),Earthwork enclosure north-east of Brigmerston Plantation
http://www.wikidata.org/entity/Q17650347,Point(-3.51344 50.6889),Earthwork enclosure
http://www.wikidata.org/entity/Q17662351,Point(-0.74647 51.20973),Earthwork on Botany Hill
http://www.wikidata.org/entity/Q17673120,Point(-3.80577 51.2298),Earthwork defences of Countisbury Castle promontory fort
http://www.wikidata.org/entity/Q17671818,Point(-1.83535 51.4232),Earthwork enclosure
http://www.wikidata.org/entity/Q17650309,Point(-4.23592 51.0244),Kenwith Castle
http://www.wikidata.org/entity/Q17650934,Point(-2.47093 50.8182),Earthworks on Giant Hill
http://www.wikidata.org/entity/Q17646108,Point(-1.07617 52.2047),Earthworks
http://www.wikidata.org/entity/Q17650355,Point(-3.55883 50.7534),Earthwork enclosure
http://www.wikidata.org/entity/Q17646949,Point(-2.79145 52.6042),Earthwork
http://www.wikidata.org/entity/Q24659476,Point(-3.0171454 51.634097),Red Castle
http://www.wikidata.org/entity/Q17650318,Point(-4.23055 51.0243),Cross ridge dyke on Godborough Castle earthwork
http://www.wikidata.org/entity/Q17674300,Point(-3.60051 50.4068),Earthwork enclosures and field systems
http://www.wikidata.org/entity/Q17673898,Point(-2.64991 53.242),Motte and bailey
http://www.wikidata.org/entity/Q17677640,Point(-2.80702 53.5699),Earthworks in Spa Roughs Wood
