-14.79858	-75.05608	Nazca Trapezoids geoglyph	http://www.wikidata.org/entity/Q33544470
-14.53276	-75.2129	Nazca Knife geoglyph	http://www.wikidata.org/entity/Q33544479
-14.64155	-75.09727	Nazca Symbols geoglyph	http://www.wikidata.org/entity/Q33544488
-14.74519	-75.07978	Nazca Owlman geoglyph	http://www.wikidata.org/entity/Q33861364
57.5999	-2.0663	Mormond White Horse	http://www.wikidata.org/entity/Q42675620
51.1152	-1.4545	Woolbury White Horse	http://www.wikidata.org/entity/Q42676404
54.9731	-1.3875	Cleadon White Horse	http://www.wikidata.org/entity/Q42680967
50.7884	0.142	Litlington White Horse	http://www.wikidata.org/entity/Q42681331
53.362	-1.4699	Heeley White Horse	http://www.wikidata.org/entity/Q42682168
52.454	-1.2007	Lutterworth White Horses	http://www.wikidata.org/entity/Q42682267
51.33661	0.17319	Shoreham Memorial Cross	http://www.wikidata.org/entity/Q42682682
51.6244	-3.4477	Tonypandy Cross	http://www.wikidata.org/entity/Q42682851
51.2424	0.7291	'The Cross': a hill-figure war memorial at Lenham	http://www.wikidata.org/entity/Q66478028
40.24829	-111.62072	Block Y	http://www.wikidata.org/entity/Q84733573
-51.68277	-57.86	Royal Navy Vessel Monument	http://www.wikidata.org/entity/Q106297175
57.6022	-2.02528	Mormond Hill Stag	http://www.wikidata.org/entity/Q123270051
51.47249	-1.81759	Hackpen White Horse	https://www.visitwiltshire.co.uk/things-to-do/hackpen-white-horse-p441413
