99	0.1	North Pole
-90	0.1	South Pole
23.5	-70	Bermuda Triangle
23.5	140	Devil's Sea (Dragon's Triangle)
23.5	-155	Hamakulia
23.5	4	Algerian Megaliths
-23.5	-50	South Atlantic Anomaly
-23.5	30	Great Zimbabwe Ruins
-23.5	90	Wharton Basin
-23.5	-109	Easter Island Megaliths
-23.5	168	New Hebrides Trench
23.5	68	Mohenjo-Daro
