latitude,longitude,label,link
52.56807981054575, 1.4354521699134875	St Mary the Virgin's Church 	https://sundialsoc.org.uk/#massidial-3473	inside the Romanesque porch, to the right of the doorway
52.582158974344885, -1.3598991709062043	St Martin's Church 	https://sundialsoc.org.uk/#massidial-3466	Upper dial on a buttress
52.582158974344885, -1.3598991709062043	St Martin's Church 	https://sundialsoc.org.uk/#massidial-3467	Lower dial on a buttress
52.59955714632679, 1.4770294888789555	St Nicholas' Church 	https://sundialsoc.org.uk/#massidial-1213	Not Known
52.60394898649045, -8.975428527058275	Franciscan Friary	https://sundialsoc.org.uk/#massidial-1408	Cloister Walk, north range, in the middle on a sill
52.62307807185858, -0.3863418385728842	St Andrew's Church 	https://sundialsoc.org.uk/#massidial-3436	Porch RHS
52.68543726572517, -0.3888895903063187	St Martin's Church 	https://sundialsoc.org.uk/#massidial-3509	inside the porch
52.728733930916974, 0.22307429019923963	St Peter's Church 	https://sundialsoc.org.uk/#massidial-0939	Nave, S wall, E of door, buttress 2.   Buttress R of porch
52.82071659407644, 1.1371992410450604	St Peter's Church 	https://sundialsoc.org.uk/#massidial-3525	Buttress, south side and east end of nave
52.84576395664664, -0.5669996337822181	St Thomas a Becket's Church 	https://sundialsoc.org.uk/#massidial-1113	Inside church.   Inside porch
52.92423880395005, -0.1799725521400177	St Swithun's Church 	https://sundialsoc.org.uk/#massidial-1115	Chancel, S wall, to L of priest door.   LHS Priest door
53.06814308645475, -2.3482899974199767	St Bertoline's Church 	https://sundialsoc.org.uk/#massidial-3445	Next to the first buttress east of the SW corner of the south aisle. 10th course up from the ground.
53.69629422026904, -6.760031026359835	Donnaghpatric 's Church 	https://sundialsoc.org.uk/#massidial-1404	Churchyard perimeter wall
53.92814217552049, -2.1645375749059537	St Mary le Ghyl's Church 	https://sundialsoc.org.uk/#massidial-1160	Above priest door
53.94022859085416, -2.326773031626807	St Peter & St Paul's Church 	https://sundialsoc.org.uk/#massidial-1161	Right side of nave window nearest porch
54.483140647974544, -1.555700147314063	St Peter's Church 	https://sundialsoc.org.uk/#massidial-3469	On the south chancel buttress
54.483140647974544, -1.555700147314063	St Peter's Church 	https://sundialsoc.org.uk/#massidial-3470	High on the south face of the tower. On the SE corner just below the clock
54.52443201319138, -1.5519269936471323	St Cuthbert's Church 	https://sundialsoc.org.uk/#massidial-3511	Inside the church
54.52443201319138, -1.5519269936471323	St Cuthbert's Church 	https://sundialsoc.org.uk/#massidial-3512	Inside church
57.0568962911741, -6.503005721501451	St Columba's Church	https://sundialsoc.org.uk/#massidial-1308	Inside church. Window sill of eastmost window of nave south side
NG27105357.0568962911741, -6.503005721501451	St Columba's Church	https://sundialsoc.org.uk/#massidial-1508	Inside church. On window sill of easternmost window of nave south side
NG27105357.0568962911741, -6.503005721501451	St Columba's Church	https://sundialsoc.org.uk/#massidial-1509	Inside church. Window sill of central window of nave south side
NG27105357.0568962911741, -6.503005721501451	St Columba's Church	https://sundialsoc.org.uk/#massidial-1510	Inside church. On window sill of westernmost window of nave south side
NG27105357.0568962911741, -6.503005721501451	St Columba's Church	https://sundialsoc.org.uk/#massidial-1511	Inside church.  On window sill of eastmost window of nave north side
NG27105357.0568962911741, -6.503005721501451	St Columba's Church	https://sundialsoc.org.uk/#massidial-1512	Inside church.  On window sill of central window of nave north side
NG27105357.0568962911741, -6.503005721501451	St Columba's Church	https://sundialsoc.org.uk/#massidial-1513	Inside church. On window sill of westernmost window of nave north side
NM284242	Iona Abbey	https://sundialsoc.org.uk/#massidial-1506	Iona Abbey Museum. Cross base stone for MacKinnon's Cross
NM397456	Lava Boulder	https://sundialsoc.org.uk/#massidial-1507	On face of a lava boulder,  in the churchyard?
NM778014	St Maglrubha Cross	https://sundialsoc.org.uk/#massidial-1502	On the socket slab of a cross pillar
56.01976118911573, -6.255751566977409	Oronsay Priory	https://sundialsoc.org.uk/#massidial-1516	On cross base of Celtic cross
NR709642	St Berchan	https://sundialsoc.org.uk/#massidial-1503	Socket stone of cross pillar, to North East of shaft
NS601655	Provand's Lordship House	https://sundialsoc.org.uk/#massidial-1505	2nd storey window jamb, inner face
