latitude,longitude,label,link
52.62647,1.29749,Norfolk Folklore Society,https://audioboom.com/channels/4948395-norfolk-folklore-society
xxx  ,   xxxx ,  Norfolk Folklore Society -  https://episodes.fm/1380739641/episode/dGFnOmF1ZGlvYm9vbS5jb20sMjAyMC0wNy0wMjovcG9zdHMvNzYyMTY4OQ
xxx  ,   xxxx ,  Norfolk Folklore Society -  https://episodes.fm/1380739641/episode/dGFnOmF1ZGlvYm9vbS5jb20sMjAyMC0wNy0xNjovcG9zdHMvNzYzNDE5Mg
xxx  ,   xxxx ,  Norfolk Folklore Society -  https://episodes.fm/1380739641/episode/dGFnOmF1ZGlvYm9vbS5jb20sMjAyMC0wNy0zMDovcG9zdHMvNzY0NDkwMw
xxx  ,   xxxx ,  Norfolk Folklore Society -  https://episodes.fm/1380739641/episode/dGFnOmF1ZGlvYm9vbS5jb20sMjAyMC0wOC0yNzovcG9zdHMvNzY2ODc1Mg
xxx  ,   xxxx ,  Norfolk Folklore Society -  https://episodes.fm/1380739641/episode/dGFnOmF1ZGlvYm9vbS5jb20sMjAyMC0wOS0xNzovcG9zdHMvNzY4NTA5Mg
xxx  ,   xxxx ,  Norfolk Folklore Society -  https://episodes.fm/1380739641/episode/dGFnOmF1ZGlvYm9vbS5jb20sMjAyMC0wOS0yNDovcG9zdHMvNzY5MDQyNQ
xxx  ,   xxxx ,  Norfolk Folklore Society -  https://episodes.fm/1380739641/episode/dGFnOmF1ZGlvYm9vbS5jb20sMjAyMC0xMC0wODovcG9zdHMvNzcwMDg5Mw
xxx  ,   xxxx ,  Norfolk Folklore Society -  https://episodes.fm/1380739641/episode/dGFnOmF1ZGlvYm9vbS5jb20sMjAyMC0xMC0yNjovcG9zdHMvNzcxNDQyOA
xxx  ,   xxxx ,  Norfolk Folklore Society -  https://episodes.fm/1380739641/episode/dGFnOmF1ZGlvYm9vbS5jb20sMjAyMC0xMS0yNTovcG9zdHMvNzczNzc1OQ
xxx  ,   xxxx ,  Norfolk Folklore Society -  https://episodes.fm/1380739641/episode/dGFnOmF1ZGlvYm9vbS5jb20sMjAyMi0wMi0yNTovcG9zdHMvODAzODEwNg
xxx  ,   xxxx ,  Norfolk Folklore Society -  https://episodes.fm/1380739641/episode/dGFnOmF1ZGlvYm9vbS5jb20sMjAyMi0wMS0yMDovcG9zdHMvODAxNjI3NQ
xxx  ,   xxxx ,  Norfolk Folklore Society -  https://episodes.fm/1380739641/episode/dGFnOmF1ZGlvYm9vbS5jb20sMjAyMi0wNS0wNTovcG9zdHMvODA3ODQzMw
xxx  ,   xxxx ,  Norfolk Folklore Society -  https://episodes.fm/1380739641/episode/dGFnOmF1ZGlvYm9vbS5jb20sMjAyMi0wOS0wNzovcG9zdHMvODE1MzM4Nw
xxx  ,   xxxx ,  Norfolk Folklore Society -  https://episodes.fm/1380739641/episode/dGFnOmF1ZGlvYm9vbS5jb20sMjAyMi0xMC0yNTovcG9zdHMvODE4MDcxOA
xxx  ,   xxxx ,  Norfolk Folklore Society -  https://episodes.fm/1380739641/episode/dGFnOmF1ZGlvYm9vbS5jb20sMjAyMS0wMi0xMDovcG9zdHMvNzc5NjcyMw
xxx  ,   xxxx ,  Norfolk Folklore Society -  https://episodes.fm/1380739641/episode/dGFnOmF1ZGlvYm9vbS5jb20sMjAyMS0wMi0yNjovcG9zdHMvNzgxMDgxMQ
xxx  ,   xxxx ,  Norfolk Folklore Society -  https://episodes.fm/1380739641/episode/dGFnOmF1ZGlvYm9vbS5jb20sMjAyMS0wMS0yODovcG9zdHMvNzc4NDU5NQ
xxx  ,   xxxx ,  Norfolk Folklore Society -  https://episodes.fm/1380739641/episode/dGFnOmF1ZGlvYm9vbS5jb20sMjAyMS0wNC0zMDovcG9zdHMvNzg1NjE4Mw
xxx  ,   xxxx ,  Norfolk Folklore Society -  https://episodes.fm/1380739641/episode/dGFnOmF1ZGlvYm9vbS5jb20sMjAyMS0wOC0xMjovcG9zdHMvNzkyMzA2Ng
xxx  ,   xxxx ,  Norfolk Folklore Society -  https://episodes.fm/1380739641/episode/dGFnOmF1ZGlvYm9vbS5jb20sMjAyMS0wOC0yNjovcG9zdHMvNzkzMDg4NA
xxx  ,   xxxx ,  Norfolk Folklore Society -  https://episodes.fm/1380739641/episode/dGFnOmF1ZGlvYm9vbS5jb20sMjAyMS0wOS0wOTovcG9zdHMvNzkzODg5Nw
xxx  ,   xxxx ,  Norfolk Folklore Society -  https://episodes.fm/1380739641/episode/dGFnOmF1ZGlvYm9vbS5jb20sMjAyMS0xMC0wNzovcG9zdHMvNzk1NjQwOA
xxx  ,   xxxx ,  Norfolk Folklore Society -  https://episodes.fm/1380739641/episode/dGFnOmF1ZGlvYm9vbS5jb20sMjAyMS0xMC0yNzovcG9zdHMvNzk2ODA3OA
xxx  ,   xxxx ,  Norfolk Folklore Society -  https://episodes.fm/1380739641/episode/dGFnOmF1ZGlvYm9vbS5jb20sMjAyMS0xMi0yMzovcG9zdHMvODAwMjcyMw
xxx  ,   xxxx ,  Norfolk Folklore Society -  https://episodes.fm/1380739641/episode/dGFnOmF1ZGlvYm9vbS5jb20sMjAyMS0xMS0xODovcG9zdHMvNzk4MjQ4Mg
xxx  ,   xxxx ,  Norfolk Folklore Society -  https://episodes.fm/1380739641/episode/dGFnOmF1ZGlvYm9vbS5jb20sMjAyMy0wMS0xMjovcG9zdHMvODIyODgzMg
xxx  ,   xxxx ,  Norfolk Folklore Society -  https://episodes.fm/1380739641/episode/dGFnOmF1ZGlvYm9vbS5jb20sMjAyMy0wMy0zMTovcG9zdHMvODI3MzczNg
xxx  ,   xxxx ,  Norfolk Folklore Society -  https://episodes.fm/1380739641/episode/dGFnOmF1ZGlvYm9vbS5jb20sMjAyMy0wNC0xMTovcG9zdHMvODI3OTExNA
xxx  ,   xxxx ,  Norfolk Folklore Society -  https://episodes.fm/1380739641/episode/dGFnOmF1ZGlvYm9vbS5jb20sMjAyMy0wNC0xMzovcG9zdHMvODI4MDg3Nw
xxx  ,   xxxx ,  Norfolk Folklore Society -  https://episodes.fm/1380739641/episode/dGFnOmF1ZGlvYm9vbS5jb20sMjAyMy0wNS0xNDovcG9zdHMvODMwMDYzMA
xxx  ,   xxxx ,  Norfolk Folklore Society -  https://episodes.fm/1380739641/episode/dGFnOmF1ZGlvYm9vbS5jb20sMjAyMy0wNS0zMDovcG9zdHMvODMwOTMxOA
xxx  ,   xxxx ,  Norfolk Folklore Society -  https://episodes.fm/1380739641/episode/dGFnOmF1ZGlvYm9vbS5jb20sMjAyMy0wOS0yODovcG9zdHMvODM3NTYyMw
xxx  ,   xxxx ,  Norfolk Folklore Society -  https://episodes.fm/1380739641/episode/dGFnOmF1ZGlvYm9vbS5jb20sMjAyNC0wMi0xMzovcG9zdHMvODQ1NzQzMA
xxx  ,   xxxx ,  Norfolk Folklore Society -  https://episodes.fm/1380739641/episode/dGFnOmF1ZGlvYm9vbS5jb20sMjAyNC0wMi0yODovcG9zdHMvODQ2NTg0OA
xxx  ,   xxxx ,  Norfolk Folklore Society -  https://episodes.fm/1380739641/episode/dGFnOmF1ZGlvYm9vbS5jb20sMjAyNC0wMS0yNjovcG9zdHMvODQ0NjM0OA
xxx  ,   xxxx ,  Norfolk Folklore Society -  https://episodes.fm/1380739641/episode/dGFnOmF1ZGlvYm9vbS5jb20sMjAyNC0wNC0yODovcG9zdHMvODQ5NzI4Mg
xxx  ,   xxxx ,  Norfolk Folklore Society -  https://episodes.fm/1380739641/episode/dGFnOmF1ZGlvYm9vbS5jb20sMjAyNC0xMC0yOTovcG9zdHMvODU5ODUwNw
xxx  ,   xxxx ,  Norfolk Folklore Society -  https://episodes.fm/1380739641/episode/dGFnOmF1ZGlvYm9vbS5jb20sMjAyNC0xMi0wMTovcG9zdHMvODYxNjUxNg
