latitude, longitude
54.14876279692101, -0.16733427551325505 Bempton Cliffs https://greyhairgreymatter.blog/2020/11/bempton-cliffs-a-first-hand-account-of-strangeness/ 
52.71824522474351, -1.97929102551983 Cannock Chase https://www.stokesentinel.co.uk/news/stoke-on-trent-news/24-most-haunted-places-staffordshire-5028927
40.258158,-109.888392 Skinwalker Ranch https://en.wikipedia.org/wiki/Skinwalker_Ranch
